tile_name,area_ha_projected,distance_to_2022_m
dop20rgbi_32_356_5504_2_rp_2023_010_013,0.03663793062269374,2888.035325652925
dop20rgbi_32_356_5504_2_rp_2023_010_013,0.05539084800024374,2901.9179531648037
dop20rgbi_32_356_5504_2_rp_2023_010_014,0.5668346824768828,2803.1608253033
dop20rgbi_32_356_5504_2_rp_2023_010_015,0.509524004652245,2692.0923888293264
dop20rgbi_32_356_5504_2_rp_2023_010_015,0.0009294386202600184,2752.4846172988737
dop20rgbi_32_356_5504_2_rp_2023_010_016,0.000852620849808249,2664.287307785149
dop20rgbi_32_356_5504_2_rp_2023_010_016,0.32881997128545215,2599.366687756103
dop20rgbi_32_356_5504_2_rp_2023_010_016,0.12263205470671017,2615.2547918479822
dop20rgbi_32_356_5504_2_rp_2023_010_016,0.014532196804963727,2699.954240357144
dop20rgbi_32_356_5504_2_rp_2023_010_016,0.035546914455384306,2594.0439408250895
dop20rgbi_32_356_5504_2_rp_2023_010_017,0.5623300059757403,2506.1729381311497
dop20rgbi_32_356_5504_2_rp_2023_010_017,0.21337229440956426,2497.3806692094972
dop20rgbi_32_356_5504_2_rp_2023_010_018,0.10118972726779718,2481.0166303133724
dop20rgbi_32_356_5504_2_rp_2023_010_018,0.1255963455088019,2415.653120771995
dop20rgbi_32_356_5504_2_rp_2023_010_018,0.245614943998651,2402.517472767192
dop20rgbi_32_356_5504_2_rp_2023_010_019,0.8931130559973534,2304.90839014483
dop20rgbi_32_356_5504_2_rp_2023_011_009,0.26640678399847795,3244.2093645125005
dop20rgbi_32_356_5504_2_rp_2023_011_010,0.1673137419175166,3147.4896483117855
dop20rgbi_32_356_5504_2_rp_2023_011_010,0.10812121599816431,3222.150192625408
dop20rgbi_32_356_5504_2_rp_2023_011_011,0.07022369810447837,3060.829448129946
dop20rgbi_32_356_5504_2_rp_2023_011_011,0.0003350575983298023,3160.3512240882023
dop20rgbi_32_356_5504_2_rp_2023_011_011,0.03146355670322279,3136.9388358103715
dop20rgbi_32_356_5504_2_rp_2023_011_012,0.00849730171417347,2941.088233945746
dop20rgbi_32_356_5504_2_rp_2023_011_012,0.040732607333326995,3039.067201257941
dop20rgbi_32_356_5504_2_rp_2023_011_013,0.4689571126062011,2846.049894127631
dop20rgbi_32_356_5504_2_rp_2023_011_014,0.589480591811878,2751.3632984166175
dop20rgbi_32_356_5504_2_rp_2023_011_015,0.025249743237338085,2682.10674992942
dop20rgbi_32_356_5504_2_rp_2023_011_015,0.8880996415061069,2657.0660510955026
dop20rgbi_32_356_5504_2_rp_2023_011_016,0.16402286055583748,2635.645507177045
dop20rgbi_32_356_5504_2_rp_2023_011_016,0.2993172063832669,2569.764412265993
dop20rgbi_32_356_5504_2_rp_2023_011_016,0.027209435180584943,2583.634275518649
dop20rgbi_32_356_5504_2_rp_2023_011_016,0.04243985147277417,2591.6643674363836
dop20rgbi_32_356_5504_2_rp_2023_011_016,0.08469129127334155,2584.845287325131
dop20rgbi_32_356_5504_2_rp_2023_011_017,0.479364392852387,2469.8178070265217
dop20rgbi_32_356_5504_2_rp_2023_011_017,0.04273677380418571,2558.1225742840124
dop20rgbi_32_356_5504_2_rp_2023_011_018,0.029312887298254823,2375.7854379029113
dop20rgbi_32_356_5504_2_rp_2023_011_018,0.01783746695470293,2378.3838557753543
dop20rgbi_32_356_5504_2_rp_2023_011_018,0.8685249326539957,2388.1174003806855
dop20rgbi_32_356_5504_2_rp_2023_011_019,0.48143859589903976,2294.0686301648657
dop20rgbi_32_356_5504_2_rp_2023_011_019,0.10912356138068065,2356.8437964496857
dop20rgbi_32_356_5504_2_rp_2023_011_019,0.05818630400040999,2278.640534827244
dop20rgbi_32_356_5504_2_rp_2023_011_019,0.11121587200330398,2297.7979995983364
dop20rgbi_32_356_5504_2_rp_2023_011_020,0.31344947316451427,2213.8778634439664
