model,block_size_patches,block_size_metres,buffer_patches,buffer_metres,seed,train_rows,test_rows,train_positive_rate,test_positive_rate,pr_auc,roc_auc,top_10_capture
BeetleCast temporal AEF,20,1000,10,500,44,6984,3643,0.22651775486827033,0.24512764205325283,0.7630381499272145,0.8890953883742237,0.3673012318029115
Coordinate-only diagnostic,20,1000,0,0,55,12105,3987,0.2244527054935977,0.35415099071983946,0.8047260988208479,0.9142811958524713,0.24575070821529746
BeetleCast temporal AEF,20,1000,0,0,55,12105,3987,0.2244527054935977,0.35415099071983946,0.9045882736070281,0.9411975026815919,0.2797450424929179
Coordinate-only diagnostic,20,1000,10,500,55,6392,3987,0.19008135168961202,0.35415099071983946,0.6539958406099773,0.7938641051734097,0.22237960339943344
BeetleCast temporal AEF,20,1000,10,500,55,6392,3987,0.19008135168961202,0.35415099071983946,0.8439497121324099,0.9120182073214337,0.26274787535410765
Coordinate-only diagnostic,40,2000,0,0,11,11191,4901,0.22687874184612636,0.3244235870230565,0.801931993229877,0.8748599579446443,0.28364779874213836
BeetleCast temporal AEF,40,2000,0,0,11,11191,4901,0.22687874184612636,0.3244235870230565,0.8890790064544596,0.9338809647278276,0.3
Coordinate-only diagnostic,40,2000,10,500,11,8262,4901,0.22355361897845558,0.3244235870230565,0.5910128512491224,0.7769949225850938,0.18930817610062894
BeetleCast temporal AEF,40,2000,10,500,11,8262,4901,0.22355361897845558,0.3244235870230565,0.8580916087243478,0.9163181998636145,0.29874213836477986
Coordinate-only diagnostic,40,2000,0,0,22,12646,3446,0.24007591333227898,0.3171793383633198,0.8107062164579811,0.908765318378477,0.2644098810612992
BeetleCast temporal AEF,40,2000,0,0,22,12646,3446,0.24007591333227898,0.3171793383633198,0.8955217052727241,0.9363211939829591,0.31564501372369624
Coordinate-only diagnostic,40,2000,10,500,22,10255,3446,0.23013164310092638,0.3171793383633198,0.5331954273314468,0.7714729478515094,0.1655992680695334
BeetleCast temporal AEF,40,2000,10,500,22,10255,3446,0.23013164310092638,0.3171793383633198,0.857151021819232,0.9177083701910197,0.3037511436413541
Coordinate-only diagnostic,40,2000,0,0,33,13115,2977,0.25634769348074726,0.2576419213973799,0.6903475441117457,0.8521114172276071,0.3076923076923077
BeetleCast temporal AEF,40,2000,0,0,33,13115,2977,0.25634769348074726,0.2576419213973799,0.6810035156854922,0.860696608399653,0.30247718383311606
Coordinate-only diagnostic,40,2000,10,500,33,11070,2977,0.26269196025293584,0.2576419213973799,0.5614374841616108,0.7276507754841983,0.27509778357235987
BeetleCast temporal AEF,40,2000,10,500,33,11070,2977,0.26269196025293584,0.2576419213973799,0.5805401222402778,0.8155043744506127,0.26597131681877445
Coordinate-only diagnostic,40,2000,0,0,44,11332,4760,0.29632897987998585,0.1619747899159664,0.3081720574688801,0.7498807518340806,0.25810635538262
BeetleCast temporal AEF,40,2000,0,0,44,11332,4760,0.29632897987998585,0.1619747899159664,0.4683494612040774,0.8630650631649488,0.30739299610894943
Coordinate-only diagnostic,40,2000,10,500,44,8438,4760,0.32021806115193174,0.1619747899159664,0.1975902497094607,0.6098777149482738,0.13229571984435798
BeetleCast temporal AEF,40,2000,10,500,44,8438,4760,0.32021806115193174,0.1619747899159664,0.3917694935803106,0.8293426247732496,0.23865110246433205
Coordinate-only diagnostic,40,2000,0,0,55,11729,4363,0.2732543268820871,0.21178088471235387,0.5771114370715342,0.8645153189352084,0.3344155844155844
BeetleCast temporal AEF,40,2000,0,0,55,11729,4363,0.2732543268820871,0.21178088471235387,0.7732254037565675,0.9276260717086539,0.38636363636363635
Coordinate-only diagnostic,40,2000,10,500,55,8756,4363,0.2697578803106441,0.21178088471235387,0.32078522890561517,0.6818929229150225,0.13528138528138528
BeetleCast temporal AEF,40,2000,10,500,55,8756,4363,0.2697578803106441,0.21178088471235387,0.655377080696715,0.8890816946937913,0.3484848484848485
