label_year,patch_row,patch_col,target,positive_fraction,ndvi_recent,ndre_recent,nbr_recent,ndvi_prior,ndre_prior,nbr_prior,ndvi_change,ndre_change,nbr_change,ndvi_std,ndre_std,valid_fraction,spatial_block
2022,42,127,1,0.76,0.6682079,0.4396151,0.45451847,0.6794014,0.43364543,0.45639443,-0.011193555,0.00596964,-0.0018759549,0.1413836,0.10023367,0.8733333333333334,2022_4_12
2022,42,134,1,0.16,0.75730234,0.538571,0.60145414,0.77535605,0.54229426,0.6079398,-0.018053789,-0.0037232256,-0.0064856387,0.11675102,0.09764838,0.8466666666666667,2022_4_13
2022,42,135,1,0.16,0.72573555,0.5110044,0.517938,0.7451681,0.49917686,0.57167304,-0.019432588,0.011827554,-0.053735055,0.15193771,0.119294584,0.8333333333333335,2022_4_13
2022,43,126,1,0.64,0.65590745,0.42597657,0.41148973,0.6854557,0.43986556,0.47904068,-0.029548272,-0.013888976,-0.06755099,0.124190904,0.09326782,0.7766666666666667,2022_4_12
2022,43,127,1,0.72,0.6841828,0.4374158,0.4197503,0.6832042,0.43240756,0.4576563,0.0009785986,0.00500821,-0.037906013,0.12323359,0.079736024,0.7733333333333334,2022_4_12
2022,43,134,1,0.08,0.7544468,0.5398912,0.5807369,0.76480514,0.52291465,0.598065,-0.01035841,0.016976554,-0.017328251,0.11136551,0.09506066,0.8333333333333335,2022_4_13
2022,43,135,1,0.48,0.70115095,0.4961716,0.49355698,0.72469354,0.48417515,0.534362,-0.023542581,0.011996442,-0.04080508,0.10809226,0.08650017,0.8333333333333335,2022_4_13
2022,44,133,1,0.24,0.6311792,0.43003795,0.43341905,0.63983196,0.42965373,0.46552402,-0.008652756,0.00038422702,-0.032104988,0.1200818,0.09164613,0.78,2022_4_13
2022,44,134,1,0.48,0.7003531,0.49715078,0.5250019,0.7157664,0.48174706,0.5499256,-0.015413301,0.015403708,-0.024923734,0.09888502,0.08173626,0.8333333333333335,2022_4_13
2022,45,127,1,0.36,0.6624665,0.4158061,0.3517675,0.6124959,0.38589138,0.42310715,0.049970616,0.029914742,-0.07133967,0.20406893,0.15356472,0.85,2022_4_12
2022,45,128,1,0.6,0.5697653,0.35359633,0.31499478,0.6138447,0.3799388,0.45617515,-0.04407942,-0.026342468,-0.1411804,0.2163263,0.17030638,0.8733333333333334,2022_4_12
2022,45,129,1,0.56,0.59323555,0.38106072,0.3419007,0.6307026,0.40288338,0.4831926,-0.0374671,-0.021822682,-0.14129186,0.1823204,0.13279274,0.9033333333333333,2022_4_12
2022,45,133,1,0.08,0.7610879,0.50454044,0.591003,0.78509665,0.51759404,0.63249475,-0.024008812,-0.01305357,-0.04149169,0.12767214,0.10274809,0.8233333333333335,2022_4_13
2022,46,126,1,0.72,0.66482383,0.44857302,0.42830777,0.72127426,0.47059685,0.5406315,-0.05645044,-0.022023797,-0.11232369,0.12488157,0.097299546,0.8266666666666667,2022_4_12
2022,46,127,1,1.0,0.6413666,0.41661987,0.39461434,0.72955567,0.48385963,0.5312056,-0.08818906,-0.06723975,-0.13659127,0.14409918,0.10557211,0.89,2022_4_12
2022,46,128,1,1.0,0.59963834,0.39113426,0.3290477,0.689892,0.4517967,0.490522,-0.090253495,-0.06066249,-0.16147435,0.098351575,0.07721253,0.8666666666666667,2022_4_12
2022,46,129,1,0.88,0.61313826,0.38830662,0.34793225,0.68110484,0.442888,0.50130045,-0.06796657,-0.054581355,-0.1533682,0.10104292,0.07594468,0.8333333333333335,2022_4_12
2022,46,130,1,0.36,0.6523719,0.38327667,0.31900615,0.5838798,0.36386508,0.4243524,0.068492,0.019411612,-0.10534625,0.1570362,0.11644683,0.8300000000000002,2022_4_13
